City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,masvingo,-20.0637,30.8277,20.6,74,83,4.73,ZW,1707614039
83,chonchi,-42.6128,-73.8092,12.95,99,100,1.05,CL,1707614039
84,la ronge,55.1001,-105.2842,-14.38,96,100,2.28,CA,1707614039
85,sinop,41.7711,34.8709,9.12,65,100,4.77,TR,1707614039
86,yellowknife,62.456,-114.3525,-12.55,97,100,6.39,CA,1707614039
87,rovinj,45.08,13.64,13.27,95,100,7.41,HR,1707614039
88,blackmans bay,-43.0167,147.3167,22.07,47,64,0.45,AU,1707614039
89,bairnsdale,-37.8333,147.6167,29.47,52,0,0.45,AU,1707614039
90,gunjur,13.2019,-16.7339,23.04,60,0,0.0,GM,1707614040
91,san pedro pochutla,15.7333,-96.4667,26.84,79,39,2.84,MX,1707614040
92,kerikeri,-35.2268,173.9474,26.62,48,0,0.89,NZ,1707614040
93,bredasdorp,-34.5322,20.0403,16.99,77,97,2.67,ZA,1707614040
94,brigantine,39.4101,-74.3646,11.68,88,0,1.54,US,1707614040
95,papatowai,-46.5619,169.4708,12.64,59,100,2.76,NZ,1707614040
96,hamilton,39.1834,-84.5333,10.61,72,100,3.09,US,1707614040
97,wenchang,30.904,118.4887,9.42,73,0,1.62,CN,1707614040
98,rio grande,-32.035,-52.0986,24.97,91,100,5.65,BR,1707613969
99,tukrah,32.5341,20.5791,17.7,31,100,13.8,LY,1707614040
100,badger,64.8,-147.5333,-8.33,85,0,1.54,US,1707614041
101,tatarsk,55.219,75.9828,-20.49,95,60,5.29,RU,1707614041
102,tyukhtet,56.5389,89.3011,-12.06,86,100,6.57,RU,1707614041
103,snyder,32.7179,-100.9176,10.19,71,0,7.2,US,1707614041
104,arraial do cabo,-22.9661,-42.0278,25.72,82,11,8.51,BR,1707614041
105,banda aceh,5.5577,95.3222,26.42,76,69,5.38,ID,1707614041
106,colares,38.7992,-9.4469,12.41,81,100,3.13,PT,1707614042
107,tsagan aman,47.5639,46.7218,-2.35,96,100,6.98,RU,1707614042
108,wuwei,37.9281,102.6414,-3.1,47,6,2.16,CN,1707614042
109,kimberley,-28.7323,24.7623,15.83,55,0,2.06,ZA,1707614042
110,colonia,50.9333,6.95,10.46,90,0,2.06,DE,1707614042
111,west island,-12.1568,96.8225,28.99,74,89,5.66,CC,1707614042
112,qaqortoq,60.7167,-46.0333,-26.78,92,0,4.32,GL,1707614042
113,gebeit,21.0667,36.3167,14.96,78,0,1.3,SD,1707614043
114,cidreira,-30.1811,-50.2056,24.98,91,100,7.16,BR,1707614043
115,lebu,-37.6167,-73.65,14.86,89,80,5.61,CL,1707614043
116,lazaro cardenas,17.9583,-102.2,24.19,79,5,3.64,MX,1707614043
117,hadibu,12.65,54.0333,25.21,71,10,4.89,YE,1707614043
118,kenema,7.8767,-11.1875,23.61,98,82,0.85,SL,1707614044
119,mili,6.0815,171.735,27.82,80,62,9.1,MH,1707614044
120,new norfolk,-42.7826,147.0587,22.73,35,16,1.0,AU,1707614044
121,grand falls-windsor,48.9332,-55.6649,-8.18,93,19,2.33,CA,1707614044
122,colimes,-1.55,-80.0167,25.52,89,37,2.06,EC,1707614044
123,tiksi,71.6872,128.8694,-27.96,100,100,2.37,RU,1707614045
124,puerto baquerizo moreno,-0.9,-89.6,26.3,83,8,2.86,EC,1707614045
125,viedma,-40.8135,-62.9967,19.87,84,0,3.58,AR,1707614045
126,haiku-pauwela,20.9219,-156.3051,27.01,67,20,6.17,US,1707614045
127,san luis,-33.295,-66.3356,23.47,67,14,6.64,AR,1707613909
128,ingeniero guillermo n. juarez,-23.9,-61.85,26.72,73,100,3.51,AR,1707614045
129,aasiaat,68.7098,-52.8699,-20.02,99,100,3.43,GL,1707614045
130,kiunga,-6.1219,141.2906,32.63,59,78,0.13,PG,1707614046
131,naze,28.3667,129.4833,13.78,52,6,6.43,JP,1707614046
132,port elizabeth,-33.918,25.5701,14.62,81,0,2.06,ZA,1707614046
133,punta arenas,-53.15,-70.9167,15.06,51,0,4.12,CL,1707614046
134,fale old settlement,-9.3852,-171.2468,27.5,87,100,9.03,TK,1707614046
135,north bend,43.4065,-124.2243,13.47,87,75,2.57,US,1707614046
136,tolanaro,-25.0319,46.9987,24.18,94,83,1.3,MG,1707614046
137,at taraf,25.3628,49.725,15.3,66,100,2.46,SA,1707614046
138,lompoc,34.6391,-120.4579,14.45,66,0,6.69,US,1707614046
139,anadyr,64.75,177.4833,-22.72,76,20,5.0,RU,1707614046
140,umm kaddadah,13.6017,26.6876,18.17,17,0,5.51,SD,1707614046
141,addison,41.9317,-87.989,3.87,68,75,2.06,US,1707614047
142,brak,27.5496,14.2714,14.4,18,100,1.29,LY,1707614047
143,kalabo,-14.97,22.6814,23.56,60,100,0.42,ZM,1707614047
144,butembo,0.15,29.2833,16.91,65,98,1.59,CD,1707614047
145,kapa'a,22.0752,-159.319,26.99,77,75,3.09,US,1707614047
146,camalu,30.85,-116.0667,14.81,70,8,5.54,MX,1707614047
147,qulsary,46.9531,54.0198,-5.88,87,100,4.32,KZ,1707614047
148,n'zeto,-7.2312,12.8666,28.22,80,100,4.43,AO,1707614047
149,sarangani,5.4033,125.4636,27.38,76,84,9.09,PH,1707614047
150,cockburn town,21.4612,-71.1419,24.51,60,100,9.11,TC,1707614047
151,zheleznodorozhnyy,55.7503,38.0042,-12.58,98,100,2.24,RU,1707614048
152,hermanus,-34.4187,19.2345,15.45,77,40,5.19,ZA,1707614048
153,san pedro,14.35,121.0167,28.53,69,4,4.47,PH,1707614048
154,qujing,25.4833,103.7833,5.76,58,97,1.36,CN,1707614048
155,slave lake,55.2834,-114.769,-1.5,82,58,4.03,CA,1707614048
156,spring creek,40.7266,-115.5859,-3.17,87,62,0.31,US,1707614048
157,vilyuysk,63.7553,121.6247,-30.0,95,100,4.02,RU,1707614048
158,college,64.8569,-147.8028,-8.28,82,20,1.54,US,1707614048
159,kyren,51.6828,102.1408,-4.47,71,100,1.79,RU,1707614048
160,oranjemund,-28.55,16.4333,17.12,90,51,4.82,NA,1707614048
161,nova sintra,14.8667,-24.7167,21.47,70,0,5.97,CV,1707614049
162,harper,4.375,-7.7169,26.64,86,0,2.89,LR,1707614049
163,flying fish cove,-10.4217,105.6791,26.82,89,62,0.0,CX,1707614049
164,severo-yeniseyskiy,60.3725,93.0408,-13.57,92,100,3.13,RU,1707614049
165,ulety,51.3572,112.4849,-10.19,86,100,1.59,RU,1707614049
166,huarmey,-10.0681,-78.1522,25.49,77,82,4.49,PE,1707614049
167,san patricio,28.017,-97.5169,21.05,91,100,3.4,US,1707614049
168,camiri,-20.05,-63.5167,22.8,95,100,1.21,BO,1707614050
169,trinity beach,-16.7888,145.6968,33.34,55,85,5.66,AU,1707614050
170,kidal,18.4411,1.4078,20.2,9,0,1.1,ML,1707614050
171,yelizovo,53.1873,158.3805,-7.92,32,0,7.0,RU,1707614050
172,bishkul,54.7803,69.1033,-22.08,98,42,4.53,KZ,1707614050
173,tura,25.5198,90.2201,13.42,55,0,1.64,IN,1707614050
174,pisco,-13.7,-76.2167,25.03,78,75,8.23,PE,1707614050
175,maraba,-5.3686,-49.1178,25.1,100,0,0.0,BR,1707614051
176,east london,-33.0153,27.9116,19.12,72,90,1.31,ZA,1707614051
177,kodiak,57.79,-152.4072,2.73,70,0,5.66,US,1707614051
178,tazacorte,28.629,-17.9293,18.97,91,0,2.06,ES,1707614051
179,fort bragg,35.139,-79.006,19.34,71,100,3.09,US,1707614051
180,ceylanpinar,36.8472,40.05,10.12,77,7,3.68,TR,1707614051
181,belo sur tsiribihina,-19.7,44.55,25.03,94,100,0.7,MG,1707614051
182,les avirons,-21.2418,55.3394,24.03,73,0,3.09,RE,1707614051
183,minas de marcona,-15.2119,-75.1103,20.27,80,52,6.19,PE,1707614051
184,posto fiscal rolim de moura,-13.0833,-62.2667,24.17,96,90,1.35,BR,1707614052
185,nouadhibou,20.931,-17.0347,19.99,88,20,7.72,MR,1707614052
186,turpan,42.9333,89.1667,1.3,56,17,0.69,CN,1707614052
187,saipan,15.1355,145.701,29.39,65,40,9.26,MP,1707614052
188,la palma,33.8464,-118.0467,18.49,41,0,4.12,US,1707614052
189,puerto ayora,-0.7393,-90.3518,25.86,96,100,0.45,EC,1707613755
190,cabo san lucas,22.8909,-109.9124,20.61,61,0,6.69,MX,1707613513
191,bathsheba,13.2167,-59.5167,26.34,78,20,6.17,BB,1707614052
192,ambon,-3.6954,128.1814,32.08,95,40,4.12,ID,1707614052
193,sol'tsy,58.1239,30.3238,-11.12,89,98,2.6,RU,1707614052
194,visakhapatnam,17.69,83.2093,22.94,94,40,1.03,IN,1707614052
195,carutapera,-1.195,-46.02,28.57,76,100,6.47,BR,1707614052
196,mar del plata,-38.0023,-57.5575,24.49,99,42,2.24,AR,1707614052
197,cromwell,41.5951,-72.6454,11.38,89,100,2.57,US,1707614053
198,elliot lake,46.3834,-82.6331,-3.21,83,100,4.63,CA,1707614053
199,ceerigaabo,10.6162,47.368,13.15,85,9,2.14,SO,1707614053
200,santo antonio,-6.3106,-35.4789,25.35,85,94,4.06,BR,1707613886
201,prince rupert,54.3161,-130.3201,4.02,91,52,1.59,CA,1707613810
202,praia da vitoria,38.7333,-27.0667,17.09,99,77,7.74,PT,1707614053
203,port alfred,-33.5906,26.891,15.1,93,30,2.6,ZA,1707614053
204,lucas,41.6501,-83.6666,4.08,72,100,5.14,US,1707614053
205,youssoufia,32.2463,-8.5294,13.09,94,95,1.14,MA,1707614053
206,cromer,52.9312,1.2989,8.16,99,100,3.07,GB,1707614053
207,daru,-9.0763,143.2092,31.57,59,96,2.13,PG,1707614054
208,broome,42.2506,-75.833,8.36,94,40,2.06,US,1707614054
209,luderitz,-26.6481,15.1594,17.71,76,0,6.18,NA,1707614054
210,marsala,37.7966,12.4352,14.41,82,100,12.03,IT,1707614054
211,nuuk,64.1835,-51.7216,-12.66,61,75,7.2,GL,1707614054
212,onguday,50.75,86.15,2.62,74,100,6.67,RU,1707614054
213,mayna,54.1135,47.6231,-24.04,100,96,0.69,RU,1707614054
214,letlhakeng,-24.0944,25.0298,24.43,53,86,1.59,BW,1707614054
215,enewetak,11.3474,162.3373,26.45,78,72,9.97,MH,1707614054
216,port augusta,-32.5,137.7667,31.94,23,0,2.35,AU,1707614055
217,remire-montjoly,4.9167,-52.2667,27.02,83,20,1.03,GF,1707614055
218,nuku'alofa,-21.1333,-175.2,27.79,78,86,5.64,TO,1707614055
219,fortaleza,-3.7227,-38.5247,28.93,97,75,1.54,BR,1707614055
220,levuka,50.1834,-105.4011,-11.94,93,59,2.72,CA,1707614055
221,vila velha,-20.3297,-40.2925,23.97,95,75,4.63,BR,1707614055
222,jamestown,42.097,-79.2353,3.77,86,40,3.6,US,1707614025
